ts-morph,templates
5.015ms,0.467ms
6.950ms,0.617ms
24.734ms,1.914ms
4.933ms,0.862ms
7.021ms,0.892ms
8.978ms,1.148ms
5.273ms,1.043ms
4.869ms,0.851ms
6.950ms,0.840ms
4.962ms,0.735ms
4.940ms,1.056ms
7.618ms,1.111ms
10.019ms,0.936ms
4.277ms,0.819ms
6.986ms,0.928ms
5.298ms,0.889ms
20.478ms,1.440ms
16.225ms,1.583ms
5.653ms,0.855ms
5.712ms,0.907ms
27.364ms,2.203ms
61.636ms,4.490ms
13.129ms,1.174ms
23.383ms,1.962ms
11.560ms,1.029ms
5.680ms,1.675ms
6.149ms,1.541ms
7.523ms,0.849ms
6.110ms,1.734ms
7.875ms,1.332ms
16.336ms,1.477ms
6.233ms,0.938ms
15.701ms,1.664ms
5.251ms,0.726ms
5.759ms,0.931ms
9.719ms,0.892ms
13.460ms,1.343ms
5.082ms,5.063ms
5.581ms,0.864ms
5.737ms,6.853ms
5.331ms,0.545ms
11.095ms,0.676ms
5.462ms,0.505ms
15.561ms,1.036ms
5.835ms,0.477ms
8.914ms,0.660ms
12.912ms,0.808ms
4.789ms,0.469ms
8.667ms,0.693ms
4.615ms,1.360ms
12.295ms,1.052ms
8.976ms,0.460ms
8.172ms,0.758ms
8.886ms,6.404ms
8.510ms,1.045ms
4.885ms,0.493ms
10.070ms,0.556ms
7.657ms,0.640ms
6.629ms,0.565ms
30.379ms,3.339ms
18.366ms,1.443ms
36.529ms,2.791ms
24.817ms,1.462ms
7.439ms,0.647ms
4.868ms,0.439ms
4.459ms,1.387ms
5.560ms,0.506ms
5.007ms,0.451ms
10.805ms,0.996ms
8.963ms,0.525ms
5.173ms,0.453ms
4.486ms,0.436ms
4.793ms,0.466ms
5.804ms,0.504ms
5.707ms,0.785ms
4.979ms,35.465ms
18.745ms,0.839ms
58.447ms,17.632ms
56.806ms,4.377ms
12.256ms,0.517ms
5.967ms,0.499ms
5.385ms,0.506ms
4.573ms,0.464ms
7.995ms,1.458ms
32.745ms,2.025ms
6.959ms,0.616ms
5.626ms,0.513ms
6.582ms,0.559ms
14.572ms,0.742ms
28.131ms,1.272ms
37.278ms,0.953ms
12.874ms,1.167ms
25.352ms,7.563ms
29.381ms,1.589ms
22.926ms,1.400ms
10.803ms,0.897ms
10.157ms,0.833ms
20.065ms,1.073ms
9.122ms,0.830ms
9.596ms,1.587ms
12.541ms,1.941ms
14.545ms,1.324ms
5.605ms,1.240ms
17.692ms,2.207ms
29.234ms,2.364ms
5.397ms,6.318ms
15.908ms,2.178ms
5.940ms,0.864ms
24.198ms,1.723ms
20.729ms,1.398ms
11.760ms,1.825ms
8.863ms,1.206ms
11.692ms,1.316ms
36.511ms,2.234ms
5.257ms,1.291ms
4.580ms,3.048ms
20.001ms,1.954ms
5.398ms,1.177ms
9.216ms,1.446ms
5.598ms,6.951ms
4.375ms,0.606ms
15.669ms,1.692ms
18.823ms,3.514ms
16.449ms,1.553ms
6.343ms,1.240ms
7.286ms,0.908ms
12.410ms,1.337ms
5.962ms,1.390ms
6.060ms,1.374ms
9.171ms,1.646ms
4.971ms,1.216ms
5.955ms,1.608ms
5.518ms,1.413ms
4.667ms,1.416ms
4.878ms,1.406ms
4.033ms,1.420ms
4.316ms,1.576ms
4.184ms,1.394ms
13.961ms,1.327ms
